title,rentType,position,direction,area,tags,price
好房好房好房好房好房好房,整租,洋泾 崮山二街坊 · 距离地铁德平路757米, 西 , 45 平米 ,近地铁随时看,4700 元/月
品质小区日月光打浦桥 拎包入住,整租,打浦桥 日月光中心伯爵居 · 距离地铁嘉善路745米, 南 , 100 平米 ,近地铁随时看,18000 元/月
朋友委托，看房随时，精装两房两厅，交通方便,整租,凉城 意和家园 · 距离地铁延长路983米, 南 , 96 平米 ,近地铁随时看拎包入住,7600 元/月
此房为南向三室多厅多卫，建筑面积为158平面,整租,植物园 龙华花园 · 距离地铁石龙路572米, 南 , 229 平米 ,近地铁随时看,26000 元/月
成熟社区繁华地段，干净清爽，环境优美，品质生活，随时看房,整租,徐家汇 徐家汇花园 · 距离地铁肇嘉浜路535米, 南 , 130 平米 ,近地铁随时看拎包入住,21000 元/月
房东诚意出租，精装修，家电齐全，拎包入住，房型好，朝向好,整租,张江 绿地MTOWN, 南 , 39 平米 ,随时看,3500 元/月
房东诚意出租，精装修，家电齐全，拎包入住，房型好，朝向好,整租,张江 绿地MTOWN, 南 , 40 平米 ,随时看,6000 元/月
三林世博家园，两室一厅，家电齐全，拎包入住,整租,三林 三林世博家园-大道站路94弄 · 距离地铁浦三路904米, 南 , 72 平米 ,近地铁随时看,5300 元/月
中山公园闹中取静 民心小区 独立一居室 全明户型随时看,整租,中山公园 民心小区 · 距离地铁江苏路698米, 南 , 28 平米 ,近地铁随时看拎包入住,3600 元/月
马当路附近，紧邻新天地日月光，双南两房一厅，可住多人！,整租,五里桥 丽园路871号-879号 · 距离地铁马当路306米, 南 , 64 平米 ,近地铁随时看拎包入住,8000 元/月
随时看房，拎包入住，租金美丽，可短租，有钥匙,整租,华泾 印象欧洲, 南 , 88 平米 ,拎包入住,7000 元/月
仲康公寓电梯房二房二厅带书房家电齐全户型正气,整租,凉城 仲康公寓 · 距离地铁大柏树348米, 南 , 124 平米 ,近地铁,7500 元/月
拎包入住 看房随时有钥匙,整租,徐家汇 汇翠花园 · 距离地铁上海体育馆245米, 南 , 115 平米 ,近地铁随时看,16500 元/月
"张江汤臣少有户型+拎包入住+温馨舒适,环境好，诚意出租",整租,张江 张江汤臣豪园三期 · 距离地铁金科路849米, 南 , 90 平米 ,近地铁随时看,11000 元/月
精装一房朝南 进地铁 周边配套齐全 拎包入住,整租,徐家汇 吴东小区 · 距离地铁虹桥路569米, 南 , 45 平米 ,近地铁随时看可短租,5800 元/月
精装修可拎包入住，近轨交2-7-16线，价可谈，随时看,整租,花木 牡丹小区-牡丹路186弄 · 距离地铁世纪公园527米, 东 , 61 平米 ,近地铁随时看拎包入住,6500 元/月
双南两房一厅，看房方便，拎包入住,整租,田林 田林四村 · 距离地铁桂林公园658米, 南 , 48 平米 ,近地铁随时看可短租拎包入住,5600 元/月
新出上南花苑一期双南精装大两房，多层的景观楼层，出门七号云台,整租,浦东世博 上南花苑一期 · 距离地铁云台路308米, 南 , 61.5 平米 ,近地铁随时看拎包入住,6500 元/月
房在这里，你看还是不看，都在这,整租,徐家汇 乐山二村 · 距离地铁徐家汇522米, 南 , 41.51 平米 ,近地铁随时看,5800 元/月
虹口，金枫里，精装两房两厅，电梯房,整租,江湾镇 金枫里 · 距离地铁江湾镇1124米, 南 , 80 平米 ,近地铁随时看拎包入住,6500 元/月
公园旁，世博园附近，周边交通方便，看房随时,整租,浦东世博 上南七村 · 距离地铁云台路775米, 南 , 60 平米 ,近地铁,5600 元/月
世纪公园居家装修双南两房，中间楼层，采光通透，看房方便,整租,花木 牡丹小区 · 距离地铁世纪公园696米, 南 , 66 平米 ,近地铁随时看,6500 元/月
艾山新村 精美三房 拎包入住 随时看房,整租,金杨 艾山新村 · 距离地铁德平路168米, 南 , 90 平米 ,近地铁随时看拎包入住,6500 元/月
楼精装修四房 看房方便拎包入住 近6号现金桥站400m,整租,金杨 园丁楼 · 距离地铁金桥路458米, 南 , 112 平米 ,近地铁随时看拎包入住,8700 元/月
精装修两房一厅，采光好，南北通透，,整租,花木 花木绿城锦绣兰庭 · 距离地铁塘桥189米, 南 , 100 平米 ,近地铁拎包入住,15000 元/月
近宜山路站，精装两房一厅，看房随时,整租,徐家汇 凯旋一村 · 距离地铁虹桥路439米, 南 , 48 平米 ,近地铁随时看,6500 元/月
此房为南向三室一厅一卫，建筑面积为15平米,整租,金杨 金云苑 · 距离地铁德平路950米, 南 , 15 平米 ,近地铁随时看,2000 元/月
东安一村 复式 南北两房一厅两卫 近正大乐城,整租,斜土路大木桥 东安一村 · 距离地铁龙华中路321米, 南 , 80 平米 ,近地铁拎包入住,7800 元/月
精装两房 随时看房 随时入住,整租,徐家汇 裕德路66弄 · 距离地铁上海体育馆318米, 南 , 40 平米 ,近地铁,5000 元/月
中漕小区，上海体育馆站1号4线附近，精装3房1厅,整租,徐家汇 中原新村 · 距离地铁上海体育馆308米, 南 , 66 平米 ,近地铁随时看拎包入住,8000 元/月
田林新苑 实拍，精装两室一厅 近桂林路近菜市场，房型正气,整租,田林 田林新苑 · 距离地铁桂林路682米, 南 , 70 平米 ,近地铁拎包入住,6000 元/月
房东诚意出租看房随时联系,整租,徐家汇 橡胶小区 · 距离地铁肇嘉浜路509米, 西 , 70 平米 ,近地铁随时看,8000 元/月
小两房 交通便利 出行方便,整租,张江 香楠小区 · 距离地铁广兰路911米, 南 , 60 平米 ,近地铁随时看,4500 元/月
高端小区，恒温 恒湿 恒氧、让您置身公园内,整租,万里 中环凯旋宫-中鹰黑森林 · 距离地铁上海西站1098米, 南 , 201 平米 ,近地铁随时看拎包入住,32000 元/月
整租·北蔡·紫叶花园·2居室,整租,北蔡 紫叶花园 · 距离地铁芳华路1302米, 南 , 59 平米 ,随时看,4900 元/月
整租·塘桥·中远行家·1居室,整租,塘桥 中远行家 · 距离地铁上海儿童医学中心544米, 东南 , 50 平米 ,随时看,5700 元/月
整租·真如·真西新村·1居室,整租,真如 真西新村 · 距离地铁真如1199米, 南 , 44 平米 ,随时看,3550 元/月
西江湾路700弄家电齐全一室一厅朝南一门关紧邻赤峰路,整租,凉城 西江湾路700弄 · 距离地铁虹口足球场547米, 南 , 45 平米 ,近地铁随时看,3800 元/月
整租·陆家嘴·崂山四村·1居室,整租,陆家嘴 崂山四村 · 距离地铁东昌路340米, 南 , 33 平米 ,随时看,5100 元/月
整租·南码头·胶南小区·2居室,整租,南码头 胶南小区 · 距离地铁临沂新村895米, 南 , 46 平米 ,随时看,4800 元/月
整租·塘桥·中远行家·1居室,整租,塘桥 中远行家 · 距离地铁上海儿童医学中心544米, 南 , 50 平米 ,随时看,6000 元/月
整租·梅陇·望族苑·3居室,整租,梅陇 望族苑 · 距离地铁莲花路679米, 南 , 115 平米 ,随时看,8700 元/月
整租·甘泉宜川·宜川一村·2居室,整租,甘泉宜川 宜川一村 · 距离地铁中潭路874米, 南 , 45 平米 ,随时看,4700 元/月
整租·徐汇滨江·苑宏新村·1居室,整租,徐汇滨江 苑宏新村, 南 , 19 平米 ,随时看,3500 元/月
整租·长桥·罗秀新村·1居室,整租,长桥 罗秀新村, 南 , 48 平米 ,随时看,4300 元/月
整租·徐家汇·乐山八九村-虹桥路411弄·2居室,整租,徐家汇 乐山八九村-虹桥路411弄 · 距离地铁徐家汇653米, 南 , 74 平米 ,随时看,8000 元/月
整租·万体馆·漕溪一村·2居室,整租,龙华 漕溪一村 · 距离地铁漕溪路350米, 南 , 56 平米 ,随时看,6000 元/月
整租·潍坊·潍坊四村·2居室,整租,潍坊 潍坊四村 · 距离地铁浦电路(6号线)488米, 南 , 49 平米 ,随时看,5500 元/月
整租·世博·上南十村-成山路350弄1-72号·2居室,整租,浦东世博 上南十村-成山路350弄1-72号 · 距离地铁东明路705米, 南 , 59 平米 ,随时看,5400 元/月
整租·万里·大华愉景华庭·2居室,整租,万里 大华愉景华庭 · 距离地铁上海西站744米, 南北 , 104 平米 ,随时看,7500 元/月
整租·康健·寿昌坊·1居室,整租,康健 寿昌坊 · 距离地铁上海南站941米, 南 , 38 平米 ,随时看,3900 元/月
整租·江湾镇·蔷薇里·1居室,整租,江湾镇 蔷薇里 · 距离地铁殷高西路1237米, 南 , 54 平米 ,随时看,4800 元/月
整租·斜土路·江南一村·2居室,整租,斜土路大木桥 江南一村 · 距离地铁大木桥路132米, 南北 , 49 平米 ,随时看,5500 元/月
整租·长桥·长桥八村1-61号·1居室,整租,长桥 长桥八村1-61号, 西 , 46 平米 ,随时看,3500 元/月
整租·北蔡·玉兰小区·2居室,整租,北蔡 玉兰小区, 南 , 49 平米 ,随时看,4000 元/月
整租·彭浦·康泉公寓-三泉路770弄·2居室,整租,彭浦 康泉公寓-三泉路770弄 · 距离地铁共康路677米, 南 , 47 平米 ,随时看,4900 元/月
整租·甘泉宜川·新长小区·1居室,整租,甘泉宜川 新长小区 · 距离地铁新村路1114米, 南 , 37 平米 ,随时看,4500 元/月
整租·华泾·紫阳花苑·2居室,整租,华泾 紫阳花苑, 北 , 59 平米 ,随时看,3900 元/月
整租·金杨·金杨五街坊·3居室,整租,金杨 金杨五街坊 · 距离地铁蓝天路450米, 南 , 71 平米 ,随时看,7000 元/月
整租·世博·德州四村-成山路24弄·1居室,整租,浦东世博 德州四村-成山路24弄 · 距离地铁长清路597米, 南 , 28 平米 ,随时看,3650 元/月
整租·泗泾·新凯城银杏苑·2居室,整租,泗泾 新凯城银杏苑 · 距离地铁佘山1223米, 南北 , 72 平米 ,随时看,3800 元/月
整租·万体馆·凯翔小区·2居室,整租,万体馆 凯翔小区 · 距离地铁龙漕路445米, 南 , 66 平米 ,随时看,5600 元/月
整租·田林·仪表新村·2居室,整租,田林 仪表新村 · 距离地铁漕宝路744米, 南 , 49 平米 ,随时看,5800 元/月
整租·徐家汇·东安二村·1居室,整租,斜土路大木桥 东安二村 · 距离地铁龙华中路350米, 南 , 29 平米 ,随时看,4400 元/月
整租·徐家汇·南丹小区-宜山路50弄·1居室,整租,徐家汇 南丹小区-宜山路50弄 · 距离地铁徐家汇587米, 南 , 42 平米 ,随时看,5200 元/月
整租·南码头·临沂六村·2居室,整租,南码头 临沂六村 · 距离地铁临沂新村307米, 南北 , 46 平米 ,随时看,4600 元/月
整租·盈浦·城北新村·2居室,整租,盈浦 城北新村 · 距离地铁青浦新城1287米, 南 , 47 平米 ,随时看,2500 元/月
整租·佘山·百鸟苑·1居室,整租,松江新城 百鸟苑 · 距离地铁洞泾670米, 南 , 60 平米 ,随时看,3100 元/月
整租·彭浦·三泉公寓-三泉路631弄·2居室,整租,共康 三泉公寓-三泉路631弄 · 距离地铁共康路917米, 南 , 79 平米 ,随时看,5600 元/月
整租·古美·平南四村·1居室,整租,古美罗阳 平南四村 · 距离地铁东兰路252米, 南 , 40 平米 ,随时看,4700 元/月
整租·真如·中兴花苑·2居室,整租,武宁 中兴花苑 · 距离地铁镇坪路583米, 南北 , 48 平米 ,随时看,4900 元/月
整租·建国西路·岳阳大楼·1居室,整租,建国西路 岳阳大楼 · 距离地铁肇嘉浜路565米, 西 , 35 平米 ,随时看,6600 元/月
整租·北蔡·虹南小区·2居室,整租,北蔡 虹南小区 · 距离地铁虹桥路677米, 南 , 62 平米 ,随时看,4600 元/月
整租·万里·香泉苑·2居室,整租,万里 香泉苑 · 距离地铁新村路948米, 南 , 68 平米 ,随时看,5600 元/月
整租·金桥·中惠广场-公寓·1居室,整租,金桥 中惠广场-公寓 · 距离地铁金桥967米, 南 , 48 平米 ,随时看,4200 元/月
整租·五里桥·蒙自新村·2居室,整租,五里桥 蒙自新村 · 距离地铁鲁班路510米, 南 , 56 平米 ,随时看,6500 元/月
整租·金杨·香山西南街坊·2居室,整租,金杨 香山西南街坊 · 距离地铁蓝天路818米, 南 , 65 平米 ,随时看,4600 元/月
整租·曲阳·运光路105弄·1居室,整租,曲阳 运光路105弄 · 距离地铁国权路1244米, 南 , 38 平米 ,随时看,3500 元/月
港机新村，凝魂一房，不租可惜了，有钥匙，记得来电,整租,南码头 港机新村 · 距离地铁高科西路645米, 南 , 40 平米 ,近地铁随时看,3500 元/月
宜家风格，干净清爽，家电齐全，14号轻轨旁，近中环百联,整租,真光 真光五街坊, 南 , 50 平米 ,随时看,4200 元/月
田林品质小区靠近地铁交通方便看房 有钥匙,整租,田林 田林路90弄 · 距离地铁桂林路392米, 南 , 20 平米 ,近地铁,3500 元/月
赵家花园 一楼 短租 便宜,整租,甘泉宜川 华阴路公房 · 距离地铁中潭路851米, 南 , 40 平米 ,近地铁随时看,3200 元/月
地铁4号8号 精装修 有钥匙看房随时,整租,世博滨江 弘辉名苑 · 距离地铁西藏南路150米, 南 , 72 平米 ,近地铁随时看拎包入住,9500 元/月
有钥匙随时看，房东诚意出租,整租,长征 梅川四街坊, 南 , 65 平米 ,随时看,4700 元/月
新出两房保德小区房东诚意出租看房方便有钥匙,整租,彭浦 保德小区 · 距离地铁共康路722米, 南 , 75 平米 ,近地铁随时看,4500 元/月
罗城小区 近上海南站 新出精装三房 房间干净舒适,整租,南站 罗城花苑 · 距离地铁上海南站616米, 南 , 70 平米 ,近地铁随时看拎包入住,6500 元/月
陆家嘴，八佰伴，近塘桥公园，往家宅小区，好房招租！！,整租,潍坊 王家宅 · 距离地铁浦电路(6号线)435米, 南 , 79 平米 ,近地铁随时看,7800 元/月
新上精装一室一厅家具家电全部全新 诚心出租有钥匙,整租,南站 金牛苑 · 距离地铁上海南站415米, 南 , 34.4 平米 ,近地铁随时看可短租拎包入住,5000 元/月
老房东委托 看房有钥匙一楼双南2房,整租,三林 凌兆新村-上浦路510弄 · 距离地铁灵岩南路577米, 南 , 70 平米 ,近地铁拎包入住,5500 元/月
"紧邻轨交4,8号！交通方便，配套完善！",整租,蓬莱公园 陆家浜路1018弄 · 距离地铁陆家浜路295米, 南 , 30 平米 ,近地铁随时看,4200 元/月
精装两室两厅一卫+拎包入住+全装全配+看房方便,整租,黄兴公园 欧洲豪庭韵都城 · 距离地铁延吉中路1148米, 南 , 98 平米 ,近地铁随时看可短租拎包入住,8000 元/月
新出一房一厅，看房随时，精装，拎包入住,整租,金杨 金杨三街坊 · 距离地铁云山路386米, 南 , 45 平米 ,近地铁随时看,4800 元/月
潍坊七村 一室一厅 健身楼层 采光无敌 晒衣服再也不怕被淋,整租,潍坊 潍坊七村 · 距离地铁世纪大道770米, 南 , 40.47 平米 ,近地铁随时看,5000 元/月
板式三房，出行方便，户型好，看房有钥匙，近地铁,整租,北蔡 大华锦绣华城十九街区 · 距离地铁锦绣路1118米, 南 , 131 平米 ,近地铁随时看,11000 元/月
全明户型，交通方便，周边配套齐全，看房基本都可以,整租,浦东世博 上钢七村 · 距离地铁长清路223米, 南 , 30 平米 ,近地铁随时看拎包入住,3500 元/月
金杨七街坊 一室一厅，随时看房，可以长租，点我！！,整租,金杨 金杨七街坊 · 距离地铁蓝天路749米, 南 , 45 平米 ,近地铁随时看,4000 元/月
"小区名称,金牛苑,租金4800户型二室一厅一卫",整租,南站 金牛苑 · 距离地铁上海南站415米, 南 , 65 平米 ,近地铁,4800 元/月
精装修一房一厅，看房随时,整租,南站 汇成三村 · 距离地铁上海南站1036米, 南 , 33.4 平米 ,近地铁随时看,4200 元/月
近地 铁 、近商城、交通便利、,整租,北新泾 新泾四村 · 距离地铁北新泾652米, 西 , 40 平米 ,近地铁随时看可短租拎包入住,3800 元/月
南方城精装修1房，首茨出租，全配拎包入住,整租,古美罗阳 南方城 · 距离地铁莲花路414米, 南 , 60 平米 ,近地铁随时看可短租拎包入住,6200 元/月
博三。近博兴路站，看房方便，领包入住,整租,金桥 博三小区 · 距离地铁博兴路495米, 南 , 41 平米 ,近地铁随时看,4300 元/月
低楼层一房，家具齐全，拎包入住,整租,光新 光新路430弄 · 距离地铁岚皋路902米, 南 , 34 平米 ,近地铁随时看拎包入住,4000 元/月
近地铁1室好房出租，家具店全配，随时看房,整租,光新 石泉路165弄 · 距离地铁镇坪路562米, 南 , 29.13 平米 ,近地铁随时看拎包入住,3800 元/月
内环板块 繁华地段 交通便利 周边配套完善,整租,塘桥 浦建小区 · 距离地铁塘桥263米, 南 , 34.35 平米 ,近地铁可短租拎包入住,4000 元/月
普乐三村 大一房，钥匙房，随时看房,整租,春申 普乐三村, 南 , 56.13 平米 ,随时看拎包入住,3300 元/月
新出精装一房，朝南采光好，交通便利，随时看房，拎包住,整租,世博滨江 市民新村 · 距离地铁西藏南路324米, 南 , 30 平米 ,近地铁随时看拎包入住,4500 元/月
汇成三村，近上海南站，房东急租，有钥匙,整租,南站 汇成三村 · 距离地铁上海南站1036米, 南 , 33 平米 ,近地铁随时看拎包入住,3200 元/月
随时看房，家具齐全，值得拥有,整租,华东理工 梅陇四村, 南 , 33 平米 ,随时看可短租拎包入住,3300 元/月
看房随时，拎包入住，四大名园。诚心出租。临近line1,整租,梅陇 望族苑 · 距离地铁莲花路679米, 南 , 117 平米 ,近地铁随时看可短租拎包入住,8200 元/月
金桥四街坊朝南主卧，中上装修，可长租，配套完善,整租,金桥 金桥新村四街坊-博兴路916弄 · 距离地铁博兴路425米, 北 , 25 平米 ,近地铁随时看,3200 元/月
新梅花苑，两年内精装修，一楼带天井，看房方便，拎包入住,整租,古美罗阳 新梅花苑二期 · 距离地铁外环路700米, 南 , 54 平米 ,近地铁随时看,5200 元/月
一室一厅，精装修，交通便利，随时看房拎包入住急租,整租,甘泉宜川 宜川六村 · 距离地铁中潭路333米, 南 , 40 平米 ,近地铁随时看,4000 元/月
精装全配一房南北通透采光好楼层好随时看房拎包入住,整租,春申 莲花新村, 南 , 50 平米 ,随时看拎包入住,3300 元/月
精装1房1厅，家具家电全配，看房随时，不靠马路。,整租,塘桥 塘桥小区 · 距离地铁塘桥315米, 南 , 35 平米 ,近地铁随时看,5100 元/月
此房为南向一室一厅一卫，建筑面积为31.35平米。,整租,潍坊 潍坊五村 · 距离地铁浦电路(6号线)597米, 南 , 31.35 平米 ,近地铁随时看,4800 元/月
近陆家嘴 看房方便 全装全配 随时拎包入住,整租,洋泾 凌三小区 · 距离地铁北洋泾路1217米, 南 , 39.39 平米 ,近地铁随时看,3800 元/月
漕河泾桂林路站精装一房，楼层佳，采光足，拎包入住 ！,整租,田林 田林三村 · 距离地铁桂林公园415米, 南 , 45 平米 ,近地铁随时看,4500 元/月
精装2房，可整租，可单间租。有钥匙，随时看房,整租,金桥 船舶新村 · 距离地铁博兴路919米, 南 , 47 平米 ,近地铁随时看拎包入住,4300 元/月
整租·甘泉宜川·平江小区·2居室,整租,甘泉宜川 平江小区 · 距离地铁中潭路755米, 东 , 44 平米 ,随时看,6200 元/月
整租·斜土路·日晖二村·1居室,整租,斜土路大木桥 日晖二村 · 距离地铁大木桥路193米, 南 , 51 平米 ,随时看,4800 元/月
整租·斜土路·日晖六村·1居室,整租,斜土路大木桥 日晖六村 · 距离地铁大木桥路173米, 南 , 28 平米 ,随时看,3500 元/月
整租·源深·梅园新村·2居室,整租,源深 梅园新村 · 距离地铁浦东大道367米, 南 , 65 平米 ,随时看,6420 元/月
整租·陆家嘴·崂山二村·1居室,整租,陆家嘴 崂山二村 · 距离地铁浦东大道347米, 北 , 28 平米 ,随时看,2400 元/月
整租·北蔡·南新四村·2居室,整租,北蔡 南新四村, 南 , 56 平米 ,随时看,5000 元/月
整租·徐家汇·谨斜小区-斜土路2167弄·1居室,整租,徐家汇 谨斜小区-斜土路2167弄 · 距离地铁东安路574米, 南 , 38 平米 ,随时看,4600 元/月
整租·金杨·罗山六村·2居室,整租,金杨 罗山六村 · 距离地铁德平路430米, 南 , 60 平米 ,随时看,5600 元/月
整租·黄兴公园·延吉七村·1居室,整租,黄兴公园 延吉七村 · 距离地铁延吉中路193米, 南 , 43 平米 ,随时看,3800 元/月
整租·梅陇·罗阳七村·2居室,整租,梅陇 罗阳七村 · 距离地铁外环路664米, 南 , 53 平米 ,随时看,4100 元/月
整租·植物园·华沁家园·2居室,整租,植物园 华沁家园, 南 , 89 平米 ,随时看,6500 元/月
整租·三林·凌兆新村-上浦路165弄·2居室,整租,三林 凌兆新村-上浦路165弄 · 距离地铁灵岩南路425米, 南 , 62 平米 ,随时看,4300 元/月
整租·植物园·东泉小区·1居室,整租,植物园 东泉小区 · 距离地铁石龙路302米, 南 , 29 平米 ,随时看,3800 元/月
整租·莘庄·奥塞花园·1居室,整租,莘庄 奥塞花园 · 距离地铁春申路343米, 南 , 53 平米 ,随时看,4500 元/月
整租·北蔡·莲溪一村·2居室,整租,北蔡 莲溪一村 · 距离地铁芳华路1345米, 南 , 73 平米 ,随时看,4700 元/月
整租·古美·新时代花园·2居室,整租,古美罗阳 新时代花园 · 距离地铁顾戴路585米, 东 , 132 平米 ,随时看,3000 元/月
整租·三林·南杨小区·2居室,整租,三林 南杨小区 · 距离地铁杨思336米, 南 , 58 平米 ,随时看,5200 元/月
整租·甘泉宜川·新村路350弄·2居室,整租,甘泉宜川 新村路350弄 · 距离地铁新村路939米, 南 , 60 平米 ,随时看,5000 元/月
整租·洋泾·永安新村·1居室,整租,洋泾 永安新村 · 距离地铁北洋泾路1029米, 南 , 31 平米 ,随时看,3800 元/月
